domain,ttl,ip_count,ns_count,label
sql.idfixhim.cn,180.0,13,4,1
swr.idfixhim.cn,180.0,13,4,1
sczr.idfixhim.cn,180.0,13,4,1
sen.idfixhim.cn,180.0,13,4,1
sint.idfixhim.cn,180.0,13,4,1
sbu.idfixhim.cn,180.0,13,4,1
snxc.idfixhim.cn,172.0,13,4,1
snlw.idfixhim.cn,180.0,12,4,1
suc.idfixhim.cn,168.0,13,4,1
stnz.idfixhim.cn,180.0,13,4,1
srq.idfixhim.cn,180.0,12,4,1
sfjb.idfixhim.cn,180.0,13,4,1
swqa.idfixhim.cn,180.0,13,4,1
sczc.idfixhim.cn,180.0,13,4,1
srm.idfixhim.cn,180.0,13,4,1
sbtc.idfixhim.cn,180.0,13,4,1
set.idfixhim.cn,180.0,13,4,1
sjq.idfixhim.cn,180.0,13,4,1
stfy.idfixhim.cn,180.0,12,4,1
sgno.idfixhim.cn,180.0,13,4,1
kqd.idfixhim.cn,174.0,13,4,1
ksl.idfixhim.cn,180.0,13,4,1
snk.idfehfhx.cn,180.0,12,4,1
sldd.idfehfhx.cn,180.0,13,4,1
spkd.idfehfhx.cn,180.0,13,4,1
szg.idfehfhx.cn,180.0,13,4,1
sby.idfehfhx.cn,180.0,13,4,1
ska.idfehfhx.cn,180.0,13,4,1
skr.idfehfhx.cn,180.0,13,4,1
sfm.idfehfhx.cn,180.0,13,4,1
swi.idfehfhx.cn,180.0,13,4,1
sly.idfehfhx.cn,180.0,13,4,1
kre.idfehfhx.cn,180.0,13,4,1
kpui.idfehfhx.cn,180.0,13,4,1
stkr.idfehfhx.cn,175.0,13,4,1
siv.idfehfhx.cn,180.0,13,4,1
sszb.idfehfhx.cn,180.0,12,4,1
sir.idfehfhx.cn,180.0,13,4,1
kbno.diwxfrre.cn,180.0,13,4,1
klz.diwxfrre.cn,180.0,13,4,1
sdw.diwxfrre.cn,180.0,12,4,1
sgy.diwxfrre.cn,180.0,13,4,1
ssrj.diwxfrre.cn,180.0,13,4,1
sdx.diwxfrre.cn,180.0,13,4,1
shlv.diwxfrre.cn,180.0,13,4,1
ssmc.diwxfrre.cn,180.0,13,4,1
sjo.diwxfrre.cn,180.0,13,4,1
szdg.diwxfrre.cn,180.0,13,4,1
rcf.diwxfrre.cn,180.0,13,4,1
rfwk.diwxfrre.cn,180.0,13,4,1
kvum.diwxfrre.cn,180.0,13,4,1
kdqy.diwxfrre.cn,180.0,13,4,1
krbi.diwxfrre.cn,179.0,13,4,1
kykl.diwxfrre.cn,180.0,13,4,1
sth.diwxfrre.cn,180.0,13,4,1
szaw.diwxfrre.cn,180.0,13,4,1
rhfa.diwxfrre.cn,180.0,13,4,1
row.diwxfrre.cn,180.0,13,4,1
kqez.diwxfrre.cn,180.0,13,4,1
kpuq.diwxfrre.cn,180.0,12,4,1
bta.diwxfrre.cn,163.0,13,4,1
bby.diwxfrre.cn,180.0,13,4,1
rpf.fhhfewmv.cn,180.0,13,4,1
rlt.fhhfewmv.cn,180.0,13,4,1
rtok.fhhfewmv.cn,180.0,13,4,1
rzn.fhhfewmv.cn,180.0,13,4,1
kol.fhhfewmv.cn,180.0,13,4,1
kpf.fhhfewmv.cn,180.0,13,4,1
gsmi.fhhfewmv.cn,180.0,13,4,1
gimi.fhhfewmv.cn,180.0,13,4,1
kbio.fhhfewmv.cn,180.0,13,4,1
kul.fhhfewmv.cn,178.0,13,4,1
sqqx.fhhfewmv.cn,180.0,13,4,1
sidi.fhhfewmv.cn,180.0,13,4,1
svsn.fhhfewmv.cn,180.0,13,4,1
stdm.fhhfewmv.cn,180.0,12,4,1
rarj.fhhfewmv.cn,180.0,13,4,1
rwvb.fhhfewmv.cn,180.0,13,4,1
rum.fhhfewmv.cn,147.0,13,4,1
rtha.fhhfewmv.cn,180.0,13,4,1
suvw.fhhfewmv.cn,180.0,13,4,1
sbzm.fhhfewmv.cn,180.0,13,4,1
bfdw.dihmmihh.cn,180.0,13,4,1
birl.dihmmihh.cn,180.0,13,4,1
sugs.dihmmihh.cn,180.0,13,4,1
svu.dihmmihh.cn,180.0,12,4,1
slpu.dihmmihh.cn,180.0,12,4,1
sti.dihmmihh.cn,180.0,13,4,1
kom.dihmmihh.cn,180.0,13,4,1
kdsm.dihmmihh.cn,180.0,12,4,1
ksq.dihmmihh.cn,180.0,13,4,1
kqv.dihmmihh.cn,180.0,13,4,1
rooy.dihmmihh.cn,180.0,13,4,1
rtuq.dihmmihh.cn,180.0,13,4,1
kvb.dihmmihh.cn,180.0,13,4,1
kiw.dihmmihh.cn,131.0,13,4,1
gcoa.dihmmihh.cn,180.0,13,4,1
gme.dihmmihh.cn,180.0,13,4,1
snjz.dihmmihh.cn,180.0,13,4,1
suw.dihmmihh.cn,180.0,13,4,1
sgp.dihmmihh.cn,180.0,13,4,1
smv.dihmmihh.cn,180.0,13,4,1
szz.dihmmihh.cn,180.0,13,4,1
shke.dihmmihh.cn,180.0,13,4,1
kxvq.dihmmihh.cn,180.0,13,4,1
koho.dihmmihh.cn,125.0,13,4,1
relq.dihmmihh.cn,180.0,12,4,1
rhjx.dihmmihh.cn,167.0,13,4,1
rsg.dihmmihh.cn,180.0,13,4,1
rfqj.dihmmihh.cn,180.0,13,4,1
gjug.dfmciii.cn,180.0,12,4,1
gdi.dfmciii.cn,180.0,10,4,1
tmhx.dhfmgci.cn,180.0,12,4,1
rim.dhfmgci.cn,180.0,12,4,1
tvjq.dhfmgci.cn,180.0,13,4,1
rhgt.dhfmgci.cn,180.0,12,4,1
kyrb.dhfmgci.cn,180.0,12,4,1
rkbd.dhfmgci.cn,180.0,12,4,1
kmaz.xdfixif.cn,180.0,12,4,1
rid.dihmmihh.cn,134.0,12,4,1
roi.dhfmgci.cn,180.0,12,4,1
riko.dhfmgci.cn,180.0,12,4,1
kgj.dhfmgci.cn,180.0,12,4,1
kbw.xdfixif.cn,180.0,12,4,1
rmkx.dihmmihh.cn,180.0,13,4,1
kpjo.xdfixif.cn,180.0,12,4,1
kjyj.xdfixif.cn,180.0,13,4,1
kzpm.zxgixwd.cn,180.0,13,4,1
kbm.zxgixwd.cn,180.0,13,4,1
gfbv.dhfmgci.cn,180.0,12,4,1
gnqs.dhfmgci.cn,180.0,13,4,1
ksge.ziiwige.cn,180.0,12,4,1
kvd.dihmmihh.cn,180.0,13,4,1
kgli.dihmmihh.cn,180.0,13,4,1
kbl.dihmmihh.cn,180.0,13,4,1
kcuo.dihmmihh.cn,180.0,13,4,1
sri.dihmmihh.cn,180.0,12,4,1
syhe.dihmmihh.cn,8.0,13,4,1
kgeh.dihmmihh.cn,180.0,13,4,1
kym.dihmmihh.cn,180.0,13,4,1
knhz.dihmmihh.cn,180.0,13,4,1
kdsq.dihmmihh.cn,180.0,13,4,1
rnoc.dihmmihh.cn,54.0,13,4,1
refo.dihmmihh.cn,180.0,13,4,1
rkcp.dihmmihh.cn,180.0,13,4,1
rwf.dihmmihh.cn,180.0,13,4,1
ksze.dhfmgci.cn,180.0,13,4,1
kdt.dhfmgci.cn,180.0,12,4,1
kxs.dhfmgci.cn,180.0,12,4,1
kmju.dhfmgci.cn,90.0,12,4,1
kmth.dhfmgci.cn,180.0,12,4,1
kfpe.dhfmgci.cn,173.0,12,4,1
rpth.dhfmgci.cn,180.0,12,4,1
rgpo.dhfmgci.cn,180.0,12,4,1
rrk.dhfmgci.cn,180.0,10,4,1
rztm.dhfmgci.cn,180.0,13,4,1
rqa.dhfmgci.cn,180.0,12,4,1
rmwo.dhfmgci.cn,180.0,12,4,1
sli.dhfmgci.cn,180.0,12,4,1
sac.dhfmgci.cn,180.0,12,4,1
kdr.dhfmgci.cn,180.0,12,4,1
kbix.dhfmgci.cn,162.0,12,4,1
rvhs.dhfmgci.cn,180.0,10,4,1
ryaa.dhfmgci.cn,180.0,10,4,1
kku.dhfmgci.cn,180.0,12,4,1
ksa.dhfmgci.cn,180.0,13,4,1
khlq.dhfmgci.cn,180.0,13,4,1
kwk.dhfmgci.cn,180.0,13,4,1
sdmu.dhfmgci.cn,180.0,13,4,1
szbp.dhfmgci.cn,13.0,12,4,1
rnta.dhfmgci.cn,180.0,12,4,1
rji.dhfmgci.cn,180.0,12,4,1
ree.dhfmgci.cn,176.0,12,4,1
rny.dhfmgci.cn,180.0,10,4,1
rsuj.dhfmgci.cn,120.0,10,4,1
snm.dhfmgci.cn,180.0,12,4,1
sir.dhfmgci.cn,180.0,12,4,1
khs.dhfmgci.cn,100.0,10,4,1
klg.dhfmgci.cn,180.0,12,4,1
kjj.dhfmgci.cn,180.0,10,4,1
krr.dhfmgci.cn,60.0,12,4,1
kobb.dhfmgci.cn,180.0,12,4,1
kmbq.dhfmgci.cn,136.0,12,4,1
rwt.dhfmgci.cn,57.0,12,4,1
rhjf.dhfmgci.cn,90.0,12,4,1
rtl.dhfmgci.cn,180.0,12,4,1
rbn.dhfmgci.cn,180.0,12,4,1
gvpb.dhfmgci.cn,51.0,12,4,1
